TYPE,BRAND,FLEET,QAIG,REG/PLAT,MODEL,CAPACITY,CHASIS,FLEET S/N,OWNERSHIP,REMARKS
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8407,QAIG-AT-18,REG/PLATE-> 15863,MODEL-> LTM-1045/1,CAP-> 45_TON,N/A,S/N-> 053395,OWNERSHIP-> OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> TEREX-DEMAG,FLEET-> K-8413,QAIG-CC-53,REG/PLATE-> 23606,MODEL-> CC1800,CAP-> 300_TON,N/A,S/N-> 55085,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-525,QAIG-CC-78,REG/PLATE-> 25873,MODEL-> LR-1400,CAP-> 400_TON,N/A,S/N-> 0015104,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8689,QAIG-CC-87,REG/PLATE-> 59920,MODEL-> LR-1200,CAP-> 200_TON,N/A,S/N-> 135047,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8680,QAIG-CC-93,REG/PLATE-> 27491,MODEL-> LR-1100,CAP-> 100_TON,N/A,S/N-> 133080,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8804,QAIG-AT-95,REG/PLATE-> 27509,MODEL-> LTM-1045-3.1,CAP-> 45_TON,N/A,S/N-> 053656,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8843,QAIG-AT-98,REG/PLATE-> 4438,MODEL-> LTM-1090-4.1,CAP-> 90_TON,N/A,S/N-> 061982,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8834,QAIG-CC-100,REG/PLATE-> 48656,MODEL-> LR-1130,CAP-> 130_TON,N/A,S/N-> 137072,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8815,QAIG-AT-101,REG/PLATE-> 29797,MODEL-> LTM-1090-4.1,CAP-> 90_TON,N/A,S/N-> 61955,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-2934,QAIG-AT-107,REG/PLATE-> 31478,MODEL-> LTM-1500---8.1,CAP-> 500_TON,N/A,S/N-> 073193,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> KOBELCO,FLEET-> K-2968,QAIG-CC-115,REG/PLATE-> 33379,MODEL-> CKE-900---1F,CAP-> 90_TON,N/A,S/N-> GH03-02208,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-5085,QAIG-AT-119,REG/PLATE-> 50243,MODEL-> LTM-1160-5.1,CAP-> 160_TON,N/A,S/N-> 067533,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8790,QAIG-CC-120,REG/PLATE-> 51734,MODEL-> LR-1130,CAP-> 130_TON,N/A,S/N-> 137050,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-5507,QAIG-CC-121,REG/PLATE-> 53379,MODEL-> LR-1300,CAP-> 300_TON,N/A,S/N-> 138196,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8812,QAIG-AT-122,REG/PLATE-> 52658,MODEL-> LTM-1160-5.1,CAP-> 160_TON,N/A,S/N-> 067306,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-5139,QAIG-AT-123,REG/PLATE-> 53076,MODEL-> LTM-1500-8.1,CAP-> 500_TON,N/A,S/N-> 073379,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-5584,QAIG-CC-124,REG/PLATE-> 53346,MODEL-> LR-1250,CAP-> 250_TON,N/A,S/N-> 135154,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> SENNEBOGEN,FLEET-> K-1376,QAIG-CC-126,REG/PLATE-> 54207,MODEL-> S5500,CAP-> 180_TON,N/A,S/N-> 55005199,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> SENNEBOGEN,FLEET-> K-1374,QAIG-CC-128,REG/PLATE-> 54205,MODEL-> S5500,CAP-> 180_TON,N/A,S/N-> 55005197,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-5791,QAIG-AT-129,REG/PLATE-> 55225,MODEL-> LTM-1250-6.1,CAP-> 250_TON,N/A,S/N-> 046014,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-5955,QAIG-AT-130,REG/PLATE-> 58256,MODEL-> LTM-1100-5.2,CAP-> 100_TON,N/A,S/N-> 045087,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-5956,QAIG-AT-132,REG/PLATE-> 58281,MODEL-> LTM-1160-5.1,CAP-> 160_TON,N/A,S/N-> 045432,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-5996,QAIG-AT-133,REG/PLATE-> 15315,MODEL-> LTM-1160-5.1,CAP-> 160_TON,N/A,S/N-> 045433,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-9031,QAIG-AT-134,REG/PLATE-> 26381,MODEL-> LTM-1160-5.1,CAP-> 160_TON,N/A,S/N-> 045448,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-9032,QAIG-AT-135,REG/PLATE-> 26121,MODEL-> LTM-1160-5.1,CAP-> 160_TON,N/A,S/N-> 045449,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-9033,QAIG-AT-136,REG/PLATE-> 26471,MODEL-> LTM-1160-5.1,CAP-> 160_TON,N/A,S/N-> 045452,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8688,QAIG-CC-137,REG/PLATE-> 59918,MODEL-> LR-1200,CAP-> 200_TON,N/A,S/N-> 135044,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-3939,QAIG-CC-139,REG/PLATE-> 46743,MODEL-> LR-1750,CAP-> 750_TON,N/A,S/N-> 074746,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> TEREX-DEMAG,FLEET-> K-2778,QAIG-AT-141,REG/PLATE-> 38080,MODEL-> AC-100/4L,CAP-> 100_TON(AT),N/A,S/N-> 10129,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> TADANO,FLEET-> K-9448,QAIG-RT-142,REG/PLATE-> 34881,MODEL-> GR-800EX,CAP-> 80_TON,N/A,S/N-> 549566,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> TADANO,FLEET-> K-9449,QAIG-RT-143,REG/PLATE-> 34896,MODEL-> GR-800EX,CAP-> 80_TON,N/A,S/N-> 549568,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> TADANO,FLEET-> K-1415,QAIG-RT-147,REG/PLATE-> 42161,MODEL-> GR-800EX,CAP-> 80_TON,N/A,S/N-> 549753,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> TADANO,FLEET-> K-1416,QAIG-RT-148,REG/PLATE-> 44693,MODEL-> GR-800EX,CAP-> 80_TON,N/A,S/N-> 549754,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> TEREX-DEMAG,FLEET-> K-9465,QAIG-CC-149,REG/PLATE-> 67837,MODEL-> CC-2800-1,CAP-> 600_TON,N/A,S/N-> 62274,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> TADANO,FLEET-> K-1549,QAIG-RT-150,REG/PLATE-> 69916,MODEL-> GR-800EX,CAP-> 80_TON,N/A,S/N-> 549840,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> TADANO,FLEET-> K-1733,QAIG-RT-151,REG/PLATE-> 69920,MODEL-> GR-800EX,CAP-> 80_TON,N/A,S/N-> 549839,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> TADANO,FLEET-> K-1836,QAIG-RT-152,REG/PLATE-> 69917,MODEL-> GR-800EX,CAP-> 80_TON,N/A,S/N-> 549877,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> TADANO,FLEET-> K-1788,QAIG-RT-153,REG/PLATE-> 69921,MODEL-> GR-800EX,CAP-> 80_TON,N/A,S/N-> 549861,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> TEREX-DEMAG,FLEET-> K-2777,QAIG-AT-157,REG/PLATE-> 75547,MODEL-> AC-100/4L,CAP-> 100_TON(AT),N/A,S/N-> 10127,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-2942,QAIG-AT-158,REG/PLATE-> 76410,MODEL-> LTM-1090-4.1,CAP-> 90_TON,N/A,S/N-> 62059,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-8847,QAIG-AT-159,REG/PLATE-> 76409,MODEL-> LTM-1090-4.1,CAP-> 90_TON,N/A,S/N-> 62022,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> TEREX-DEMAG,FLEET-> K-1899,QAIG-AT-160,REG/PLATE-> 76561,MODEL-> AC-130-5,CAP-> 130_TON(AC),N/A,S/N-> 35321,OWNERSHIP-> SARENS-GULF,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-0147,QAIG-AT-161,REG/PLATE-> 76599,MODEL-> SAC-1600-C7,CAP-> 160_TON,N/A,S/N-> AC0160CD0738,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-0149,QAIG-AT-162,REG/PLATE-> 76597,MODEL-> SAC-1600-C7,CAP-> 160_TON,N/A,S/N-> AC0160CD0742,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-0150,QAIG-AT-163,REG/PLATE-> 76598,MODEL-> SAC-1600-C7,CAP-> 160_TON,N/A,S/N-> AC0160CD0743,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-0151,QAIG-RT-164,REG/PLATE-> 76631,MODEL-> SRC-800-T,CAP-> 80_TON,N/A,S/N-> RC0080CD0561,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-0152,QAIG-RT-165,REG/PLATE-> 76609,MODEL-> SRC-800-T,CAP-> 80_TON,N/A,S/N-> RC0080CD0566,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-0153,QAIG-RT-166,REG/PLATE-> 76630,MODEL-> SRC-800-T,CAP-> 80_TON,N/A,S/N-> RC0080CD0568,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-0154,QAIG-RT-167,REG/PLATE-> 76600,MODEL-> SRC-800-T,CAP-> 80_TON,N/A,S/N-> RC0080CD0570,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-0156,QAIG-RT-168,REG/PLATE-> 76608,MODEL-> SRC-800-T,CAP-> 80_TON,N/A,S/N-> RC0080CD0571,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> TEREX-DEMAG,FLEET-> K-6153,QAIG-CC-169,REG/PLATE-> TEMP,MODEL-> CC-6800,CAP-> 1250_TON,N/A,S/N-> D052028,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-3309,QAIG-AT-170,REG/PLATE-> 76894,MODEL-> SAC-1100-S,CAP-> 110_TON,N/A,S/N-> AC0110CD0673,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-3359,QAIG-AT-171,REG/PLATE-> 76893,MODEL-> SAC-1100-S,CAP-> 110_TON,N/A,S/N-> AC0110CD0675,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-3383,QAIG-AT-172,REG/PLATE-> 76905,MODEL-> SAC-1100-S,CAP-> 110_TON,N/A,S/N-> AC0110CD0676,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-3384,QAIG-AT-173,REG/PLATE-> 76900,MODEL-> SAC-1100-S,CAP-> 110_TON,N/A,S/N-> AC0110CD0678,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-3385,QAIG-AT-174,REG/PLATE-> 76909,MODEL-> SAC-1100-S,CAP-> 110_TON,N/A,S/N-> AC0110CD0679,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-3394,QAIG-AT-175,REG/PLATE-> 76904,MODEL-> SAC-1100-S,CAP-> 110_TON,N/A,S/N-> AC0110CD0680,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-3386,QAIG-AT-176,REG/PLATE-> 76903,MODEL-> SAC-1100-S,CAP-> 110_TON,N/A,S/N-> AC0110CD0681,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-3077,QAIG-AT-177,REG/PLATE-> 76892,MODEL-> SAC-1600-C7,CAP-> 160_TON,N/A,S/N-> AC0160CD0735,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-3098,QAIG-AT-178,REG/PLATE-> 76898,MODEL-> SAC-1600-C7,CAP-> 160_TON,N/A,S/N-> AC0160CD0736,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-3104,QAIG-AT-179,REG/PLATE-> 76908,MODEL-> SAC-1600-C7,CAP-> 160_TON,N/A,S/N-> AC0160CD0739,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-3105,QAIG-AT-180,REG/PLATE-> 76906,MODEL-> SAC-1600-C7,CAP-> 160_TON,N/A,S/N-> AC0160CD0740,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-3078,QAIG-AT-181,REG/PLATE-> 76897,MODEL-> SAC-1600-C7,CAP-> 160_TON,N/A,S/N-> AC0160CD0741,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-30308,QAIG-CC-182,REG/PLATE-> 78203,MODEL-> SCC-8000A,CAP-> 800_TON,N/A,S/N-> CC0800CE7721,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-30895,QAIG-CC-183,REG/PLATE-> 6928DAA,MODEL-> SCC-6500A,CAP-> 650_TON,N/A,S/N-> N/A,OWNERSHIP-> External-Vendor/Supplier,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-30902,QAIG-AT-184,REG/PLATE-> 79000,MODEL-> LTM-1650-8.1,CAP-> 650_TON,N/A,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> CRANE,BRAND-> LIEBHERR,FLEET-> K-5298,QAIG-AT-145,REG/PLATE-> N/A,MODEL-> N/A,N/A,N/A,S/N-> 71342,OWNERSHIP-> N/A,
TYPE-> MULTI-AXLES,BRAND-> NICOLAS,FLEET-> T-8859,QAIG-MT-10,REG/PLATE-> 32399,MODEL-> 4-Lines,N/A,CHASIS-> 199Y-3279(QATAR-TD-013065),S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> MULTI-AXLES,BRAND-> NICOLAS,FLEET-> T-8859,QAIG-MT-10,REG/PLATE-> N/A,MODEL-> 4-Lines,N/A,CHASIS-> 199Y-3280,S/N-> N/A,OWNERSHIP-> N/A,
TYPE-> MULTI-AXLES,BRAND-> NICOLAS,FLEET-> T-8859,QAIG-MT-10,REG/PLATE-> N/A,MODEL-> 4-Lines,N/A,CHASIS-> 199Y-3281,S/N-> N/A,OWNERSHIP-> N/A,
TYPE-> MULTI-AXLES,BRAND-> NICOLAS,FLEET-> T-8867,QAIG-MT-28,REG/PLATE-> 38138,MODEL-> 4-Lines,N/A,CHASIS-> 199Y-3172(QATAR-TD-019535),S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> MULTI-AXLES,BRAND-> NICOLAS,FLEET-> T-8867,QAIG-MT-28,REG/PLATE-> N/A,MODEL-> 4-Lines,N/A,CHASIS-> 199Y-3171,S/N-> N/A,OWNERSHIP-> N/A,
TYPE-> MULTI-AXLES,BRAND-> NICOLAS,FLEET-> T-8867,QAIG-MT-28,REG/PLATE-> N/A,MODEL-> 4-Lines,N/A,CHASIS-> 199Y-3170,S/N-> N/A,OWNERSHIP-> N/A,
TYPE-> MULTI-AXLES,BRAND-> NICOLAS,FLEET-> T-8867,QAIG-MT-19,REG/PLATE-> 21107,MODEL-> 6-Lines,N/A,CHASIS-> 199Y-3168(QATAR-TD-019269),S/N-> N/A,OWNERSHIP-> SARENS-GULF,
